Electricity,type=P_agg value=1027.397 1693526400
Electricity,type=P_agg value=1025.936 1693526430
Electricity,type=P_agg value=1027.649 1693526460
Electricity,type=P_agg value=1026.759 1693526490
Electricity,type=P_agg value=1031.317 1693526520
Electricity,type=P_agg value=1028.776 1693526550
Electricity,type=P_agg value=1028.719 1693526580
Electricity,type=P_agg value=1027.768 1693526610
Electricity,type=P_agg value=1028.838 1693526640
Electricity,type=P_agg value=1027.804 1693526670
Electricity,type=P_agg value=1027.027 1693526700
Electricity,type=P_agg value=1027.557 1693526730
Electricity,type=P_agg value=1028.159 1693526760
Electricity,type=P_agg value=1024.444 1693526790
Electricity,type=P_agg value=1025.581 1693526820
Electricity,type=P_agg value=1023.462 1693526850
Electricity,type=P_agg value=1025.072 1693526880
Electricity,type=P_agg value=1028.169 1693526910
Electricity,type=P_agg value=947.492 1693526940
Electricity,type=P_agg value=947.935 1693526970
Electricity,type=P_agg value=946.623 1693527000
Electricity,type=P_agg value=947.585 1693527030
Electricity,type=P_agg value=948.701 1693527060
Electricity,type=P_agg value=948.552 1693527090
Electricity,type=P_agg value=948.650 1693527120
Electricity,type=P_agg value=948.511 1693527150
Electricity,type=P_agg value=947.796 1693527180
Electricity,type=P_agg value=944.730 1693527210
Electricity,type=P_agg value=941.602 1693527240
Electricity,type=P_agg value=944.040 1693527270
Electricity,type=P_agg value=945.198 1693527300
Electricity,type=P_agg value=944.164 1693527330
Electricity,type=P_agg value=941.504 1693527360
Electricity,type=P_agg value=944.941 1693527390
Electricity,type=P_agg value=943.999 1693527420
Electricity,type=P_agg value=941.314 1693527450
Electricity,type=P_agg value=939.009 1693527480
Electricity,type=P_agg value=936.808 1693527510
Electricity,type=P_agg value=941.005 1693527540
Electricity,type=P_agg value=941.869 1693527570
Electricity,type=P_agg value=941.818 1693527600
Electricity,type=P_agg value=941.952 1693527630
Electricity,type=P_agg value=940.120 1693527660
Electricity,type=P_agg value=940.928 1693527690
Electricity,type=P_agg value=938.155 1693527720
Electricity,type=P_agg value=940.337 1693527750
Electricity,type=P_agg value=941.288 1693527780
Electricity,type=P_agg value=939.297 1693527810
Electricity,type=P_agg value=939.447 1693527840
Electricity,type=P_agg value=940.799 1693527870
Electricity,type=P_agg value=939.575 1693527900
Electricity,type=P_agg value=939.333 1693527930
Electricity,type=P_agg value=938.670 1693527960
Electricity,type=P_agg value=940.666 1693527990
Electricity,type=P_agg value=940.779 1693528020
Electricity,type=P_agg value=940.018 1693528050
Electricity,type=P_agg value=937.656 1693528080
Electricity,type=P_agg value=940.100 1693528110
Electricity,type=P_agg value=946.011 1693528140
